District,Murder,Robbery,Theft,Total_IPC_Crime
Burhanpur,21,0,0,2535
Chhatarpur,46,0,4,5758
Chhindwara,46,0,0,5315
Damoh,24,0,0,4196
Datia,19,0,0,2848
Dewas,25,0,1,7247
Dhar,60,0,5,8222
Dindori,30,0,0,2361
Guna,33,0,0,5822
Gwalior,80,3,12,13140
Harda,18,0,0,2366
Narmadapuram,44,0,1,4805
Indore Commissionarate,51,2,42,18126
Indore Railway,0,0,0,1937
Jabalpur,76,0,1,13246
Jabalpur Railway,4,0,0,3915
Jhabua,23,0,0,4209
Katni,35,0,0,4838
Khandwa,24,0,0,4478
Khargone,35,0,0,4126
Mandla,33,0,0,2704
Mandsaur,15,0,1,4239
Morena,43,0,18,6907
Narsinghpur,32,0,1,3536
Neemuch,13,0,0,2589
Panna,19,0,2,3324
Raisen,54,0,4,5322
Rajgarh,23,0,0,5721
Ratlam,33,0,0,7420
Rewa,53,0,0,9115
Sagar,59,0,1,12336
Satna,48,0,1,7007
Seoni,33,0,0,3700
Shahdol,49,0,0,3939
Shajapur,11,0,1,3298
Sheopur,11,0,2,1888
Shivpuri,47,0,9,6469
Sidhi,22,0,0,3879
Sehore,25,0,0,5121
Singrauli,51,7,1,4582
Tikamgarh,18,0,1,3282
Ujjain,39,0,0,9729
Umaria,19,0,0,1934
Vidisha,39,0,0,5779
Cyber Crime Cell,0,0,0,0
Niwari,16,0,0,1531
Bhopal Rural,17,0,0,2218
Indore Rural,29,0,0,5145
Ahmednagar,105,0,0,19422
Akola,42,0,0,5582
Amravati Commr,27,0,1,4656
Amravati Rural,53,1,0,8160
Chhatrapati Sambhajinagar Commr,30,0,0,5814
Chhatrapati Sambhajinagar Rural,41,0,2,5811
Beed,64,0,0,7062
Bhandara,25,0,0,3030
Buldhana,37,1,0,7909
Chandrapur,31,0,0,8527
Dhule,36,0,0,4086
Gadchiroli,35,0,1,2154
Gondia,28,0,0,3294
Hingoli,28,0,0,3874
Jalgaon,66,0,0,8189
Jalna,51,0,0,6767
Kolhapur,52,0,0,9426
Latur,43,0,2,6423
Mumbai Commr,124,0,3,44873
Mumbai Railway,8,0,0,15662
Nagpur Commr,79,0,1,17297
Nagpur Railway,2,0,0,1559
Nagpur Rural,58,0,1,9868
Nanded,64,0,0,7621
Nandurbar,21,0,0,2252
Nasik Commr,42,0,0,4768
Nasik Rural,79,0,1,8864
Navi Mumbai,37,0,0,6475
Dharashiv,30,0,3,4200
Palghar,35,0,0,3594
Parbhani,28,0,0,4783
Pune Commr,101,0,14,12542
Pune Railway,2,0,0,1338
Pune Rural,102,0,18,17644
Raigad,26,0,0,4526
Ratnagiri,18,0,0,1628
Sangli,69,0,0,8078
Satara,45,0,1,10461
Sindhudurg,14,0,0,1604
Solapur Commr,9,0,0,2282
Solapur Rural,64,0,1,10087
Thane Commr,87,0,4,13561
Thane Rural,33,0,1,3023
Wardha,27,0,0,7482
Washim,25,0,0,4499
Yavatmal,78,0,2,11894
Pimpri Chinchwad City,69,0,29,10238
Chhatrapati Sambhajinagar Railway,1,0,0,4565
Mira Bhayandar Vasai Virar Commr,37,0,0,8169
Bishnupur,24,0,0,2766
Chandel,0,0,0,69
Churachandpur,18,0,0,3223
CID,1,0,0,44
Imphal East,37,0,0,3552
Imphal West,21,0,2,3897
Senapati,1,0,0,19
Tamenglong,0,0,0,14
Thoubal,6,0,0,535
Ukhrul,2,0,0,26
Kakching,14,0,0,1807
Kamjong,1,0,0,8
Kangpokpi,18,0,0,1126
Jiribam,1,0,0,38
Noney,3,0,0,26
Pherzawl,0,0,0,14
Tengnoupal,4,0,0,2028
Narcotic,0,0,0,0
Garo Hills East,2,0,0,112
Garo Hills North,1,0,0,51
Garo Hills South,0,0,0,52
Garo Hills South West,5,0,0,124
Garo Hills West,10,0,0,371
Jaintia Hills West,7,0,0,160
Jaintia Hills East,9,0,0,110
Khasi Hills East,14,0,0,1227
Khasi Hills South West,1,0,0,51
Khasi Hills West,4,0,0,74
Ri-Bhoi,9,0,0,356
Cyber Cell,0,0,0,0
Khasi Hills Eastern West,0,0,0,42
Aizawl,10,0,4,2195
Champhai,1,0,0,124
Kolasib,1,0,0,182
Lawngtlai,3,0,0,68
Lunglei,1,0,0,186
Mamit,2,1,0,150
Saiha,3,0,0,77
Serchhip,2,0,0,147
Spl Narcotic,0,0,0,0
Hnahthial,1,0,0,51
Khawzawl,0,0,0,38
Saitual,0,0,0,42
Cyber,0,0,0,0
Crime and EOU,0,0,0,21
Dimapur,6,0,0,551
Kiphire,0,0,0,16
Kohima,2,0,0,114
Longleng,0,0,0,32
Mokokchung,3,0,0,43
Mon,2,0,0,82
Peren,1,0,0,22
Phek,1,0,0,26
Tuensang,1,0,0,31
Wokha,0,0,0,50
Zunheboto,1,0,0,42
Noklak,0,0,0,2
Shamator,0,0,0,8
Tseminyu,1,0,0,17
Crime,1,0,0,4
Cyber Security,0,0,0,10
Narcotics,0,0,0,0
Angul,43,0,0,9796
Balasore,66,0,0,6933
Baragarh,43,0,0,3864
Berhampur,29,0,0,6423
Bhadrak,54,0,0,6319
Bolangir,43,0,0,5573
Boudh,25,0,0,1098
Cuttack,72,0,0,4924
DCP BBSR,52,0,0,10740
DCP CTC,26,0,0,6251
Deogarh,13,0,0,1628
Dhenkanal,28,0,0,5957
Gajapati,10,0,0,1088
Ganjam,85,0,0,16059
Jagatsinghpur,30,0,0,5168
Jajpur,50,0,0,7388
Jharsuguda,22,0,0,2923
Kalahandi,34,0,0,4106
Kandhamal,46,0,0,2291
Kendrapara,43,0,0,7369
Keonjhar,71,0,0,5586
Khurda,33,0,0,4613
Koraput,53,0,0,3154
Malkangiri,31,0,0,1877
Mayurbhanj,77,0,0,7183
Nayagarh,26,0,0,3024
Nabarangpur,38,0,0,2235
Nuapada,13,0,0,1906
Puri,54,0,0,7009
Rayagada,26,0,0,2116
Rourkela,37,0,0,3736
Sambalpur,40,0,0,5198
Sonepur,10,0,0,1680
SRP(Cuttack),4,0,0,1034
SRP(Rourkela),3,0,0,623
Sundargarh,32,0,0,3068
CID CB,0,0,0,82
Amritsar Rural,51,0,0,1823
Barnala,17,1,3,1021
Batala,25,0,1,1203
Bathinda,42,0,18,2445
CP Amritsar,19,1,0,2990
CP Jalandhar,18,0,6,2114
CP Ludhiana,56,0,1,4081
Faridkot,15,0,2,1092
Fatehgarh Sahib,20,0,0,950
Fazilka,16,0,1,1281
Ferozepur,27,0,2,1370
GRP,4,0,0,321
Gurdaspur,4,0,1,873
Hoshiarpur,22,0,0,1972
Jalandhar Rural,32,0,5,1650
Kapurthala,18,0,0,1407
Khanna,15,0,0,1155
Ludhiana Rural,18,0,2,856
Mansa,15,0,8,1787
Moga,19,0,5,1304
Muktsar,27,0,4,769
Pathankot,7,0,0,430
Patiala,47,0,3,3137
Ropar,20,0,0,991
Sangrur,30,0,13,1666
SAS Nagar,42,0,0,3213
SBS Nagar,14,0,1,691
Tarn Taran,33,0,0,1597
Bureau of Investigation,0,0,0,6
Intelligence Wing,0,0,0,9
NRI Wing,0,0,0,120
Special Task Force,0,0,0,9
Malerkotla,8,0,0,509
Cyber Crime Wing,0,0,0,30
Ajmer,28,0,70,5687
Alwar,65,0,0,9638
Banswara,42,0,0,3249
Baran,53,0,94,3731
Barmer,32,0,23,3088
Bharatpur,55,0,0,7453
Bhilwara,33,0,53,6330
Bikaner,80,0,4,6196
Bundi,15,0,35,3618
Chittorgarh,33,0,9,4742
Churu,47,0,0,3966
Dausa,35,0,0,5991
Dholpur,46,0,3,4785
Dungarpur,41,0,6,2691
GRP Ajmer,4,0,0,1562
GRP Jodhpur,1,0,0,400
Ganganagar,46,0,0,4428
Hanumangarh,42,0,2,5266
Jaipur East,46,0,5,9603
Jaipur North,17,0,0,4076
Jaipur Rural,27,0,4,4265
Jaipur South,33,0,0,8029
Jaipur West,33,0,3,8242
Jaisalmer,10,0,11,1582
Jalore,17,0,0,1874
Jhalawar,32,0,74,4796
Jhunjhunu,35,0,0,4472
Jodhpur East,14,0,19,3219
Jodhpur West,19,0,18,4434
Jodhpur Rural,26,0,15,2714
Karauli,29,0,0,4084
Kota City,30,0,111,5667
Kota Rural,16,0,64,2706
Nagaur,42,0,17,3955
Pali,44,0,11,4996
Pratapgarh,23,0,0,2228
Rajsamand,23,0,15,3195
Sawai Madhopur,17,0,3,2954
Sikar,44,0,1,6185
Sirohi,37,0,0,2590
Tonk,37,0,3,4496
Udaipur,93,0,28,9760
Jaipur Metro,0,0,0,2
SCRB,0,0,0,0
ATS & SOG,0,0,0,24
SSB,0,0,0,0
Jaipur Crime,0,0,0,19
Bhiwadi,22,0,3,2537
Beawar,25,0,11,4302
Didwana-Kuchaman,20,0,12,3172
Kekri,20,0,22,1968
Shahpura,16,0,18,2272
Deeg,34,0,0,4209
Gangapur City,34,0,0,2886
Anupgarh,20,0,0,2428
Dudu,5,0,2,1187
Khairtal-Tijara,19,0,3,2041
Kotputli-Behror,37,0,4,4965
Balotra,24,0,1,2142
Phalodi,18,0,9,1489
Jodhpur Crime,0,0,0,10
Sanchore,22,0,0,1357
Neem Ka Thana,31,0,2,3735
Salumbar,15,0,1,1297
Gangtok (East),7,0,0,227
Mangan (North),0,0,0,27
Namchi (South),2,1,0,111
Soreng (West),2,1,0,47
CID,0,0,0,3
Pakyong (East),0,0,0,57
Gyalshing (West),1,0,0,39
Ariyalur,16,0,0,1836
Chennai,105,0,2,15698
Coimbatore,52,0,0,4294
Coimbatore City,22,0,0,4697
Cuddalore,52,0,0,8344
Dharmapuri,23,0,0,2754
Dindigul,62,0,0,5540
Erode,37,0,0,4152
Kanchipuram,36,0,0,6409
Kanyakumari,31,0,0,4521
Karur,18,0,0,2197
Krishnagiri,59,0,3,5254
Madurai,63,0,1,6180
Madurai City,37,0,0,4187
Nagapattinam,15,0,0,1616
Namakkal,35,0,0,3397
Nilgiris,10,0,0,694
Perambalur,12,0,0,1534
Pudukottai,29,0,0,4464
Ramnathapuram,36,0,0,4022
Railway Chennai,8,0,0,1318
Railway Trichy,1,0,0,554
Salem,46,0,0,4658
Salem City,26,0,0,2483
Sivagangai,42,0,2,3689
Thanjavur,51,0,1,8259
Theni,46,0,0,4683
Thirunelveli,47,0,0,7259
Thirunelveli City,17,0,0,1709
Thiruvallur,30,0,0,3113
Thiruvannamalai,35,0,0,5040
Thiruvarur,18,0,0,2805
Thoothukudi,74,0,2,5852
Tiruppur,31,0,1,4919
Tiruppur City,24,0,0,1897
Trichy,45,0,0,4977
Trichy City,19,0,0,2367
Vellore,24,0,0,4631
Villupuram,35,0,0,6938
Virudhunagar,61,4,0,4781
Cyber Cell,0,0,0,1
Other Units,0,0,0,17
Chengalpattu,31,0,0,4897
Kallakurichi,23,0,0,3644
Ranipet,22,0,0,2389
Tiruppattur,19,0,0,1854
Tenkasi,39,0,2,4795
Mayiladuthurai,10,0,0,2403
Avadi,57,0,2,4522
Tambaram,50,0,1,5560
Cyberabad Commissionerate,124,0,1,22398
Hyderabad Commissionerate,94,0,0,21774
Karimnagar Commissionerate,21,0,0,4585
Khammam Commissionerate,29,2,0,5436
Nizamabad Commissionerate,52,0,0,5751
Rachakonda Commissionerate,76,0,4,23289
Ramagundam Commissionerate,40,0,1,5625
Siddipet Commissionerate,18,0,0,4280
Warangal Commissionerate,48,0,0,9884
Adilabad,19,0,0,2527
Bhadradri Kothagudem,27,0,0,4065
Jagityal,32,0,0,3931
Jayashankar Bhupalpalli,10,0,0,1824
Jogulamba Gadwal,11,0,0,1303
Kamareddy ,37,0,0,3507
Kumaram Bheem Asifabad,23,0,3,1046
Mahabubabad,10,0,1,2238
Mahabubnagar,27,0,0,3126
Medak,37,0,0,2864
Nagarkurnool,31,0,0,2306
Nalgonda,30,0,0,5318
Nirmal,8,0,0,1686
Rajanna Siricilla,12,0,0,3221
Sangareddy,52,0,0,3848
Suryapet,24,0,0,4778
Vikarabad,30,0,0,1915
Wanaparthy,11,0,0,1235
Railway Police Secunderabad,1,0,0,1011
Mulug,11,0,0,826
Narayanpet,9,0,0,1140
Dhalai,15,0,0,305
Gomati,8,0,0,461
GRP,0,0,0,18
Kowai,11,0,0,239
North,7,0,0,424
Sipahijala,11,0,0,484
South,10,0,0,328
Unakoti,5,0,0,406
West,34,0,0,1149
Agra,96,0,59,11725
Aligarh,75,0,97,13777
Prayagraj,91,0,132,11699
Ambedkar Nagar,31,0,17,4058
Amethi,36,0,9,2744
Amroha,21,0,58,3954
Auraiya,23,0,0,3690
Azamgarh,39,0,405,9332
Badaun,42,0,51,5639
Baghpat,42,0,0,3281
Bahraich,38,0,55,8485
Ballia,25,0,48,5256
Balrampur,15,0,2,3396
Banda,53,0,46,4516
Barabanki,34,0,0,7537
Bareilly,83,0,59,9728
Basti,25,0,25,3549
Bijnor,53,0,180,6505
Bulandshahar,49,0,118,7059
Chandoli,6,0,24,2242
Chitrakoot,24,0,0,1621
Deoria,28,0,0,5671
Etah,27,0,2,4760
Etawah,29,0,0,2871
Ayodhya,29,0,0,5499
Fatehgarh,42,0,3,3309
Fatehpur,25,0,27,4439
Firozabad,68,0,0,9485
GRP,8,0,0,5372
Gautambudh Nagar,53,0,10,8332
Ghaziabad,110,2,100,14589
Ghazipur,27,0,18,4329
Gonda,45,0,71,6602
Gorakhpur,64,0,0,15877
Hamirpur,33,0,28,3406
Hapur,34,0,0,2890
Hardoi,47,0,32,8381
Hathras,37,0,5,3324
Jalaun,22,0,28,3279
Jaunpur,51,0,0,6381
Jhansi,35,0,24,3800
Kannauj,46,0,18,3902
Kanpur Dehat,30,0,18,3281
Kanpur Commissionarate,97,0,42,10652
Kasganj,27,0,0,3142
Kaushambi,45,0,0,3381
Khiri,56,0,0,6417
Kushi Nagar,49,0,141,7458
