District,total_crime,risk_score
Dausa,5991.0,13.3510128585118
Davanagere,3755.0,8.36806097207675
Deeg,4209.0,9.379805228088161
Dehradun,4240.0,9.448889086978806
Deogarh,1628.0,3.628016847547523
Deoghar,2835.0,6.317830321128519
Deoria,5671.0,12.637889153834154
Devbhumi Dwarka,1633.0,3.6391594054331113
Dewas,7247.0,16.15002339937156
Dhalai,305.0,0.6796960310208812
Dhamtari,1852.0,4.127203440821875
Dhanbad,5404.0,12.042876562743743
Dhanbad Railway,489.0,1.0897421612105276
Dhar,8222.0,18.32282218706126
Dharashiv,4200.0,9.3597486238941
Dharmapuri,2754.0,6.13732088338199
Dharwad,1237.0,2.7566688208945247
Dhemaji,541.0,1.205624763220645
Dhenkanal,5957.0,13.2752434648898
Dholpur,4785.0,10.663427896507923
Dhubri,1563.0,3.4831635950348763
Dhule,4086.0,9.10569830410269
Diamond Harbour Police,3648.0,8.129610233325161
Dibang Valley,7.0,0.015599581039823502
Dibrugarh,1661.0,3.701557729592405
Didwana-Kuchaman,3172.0,7.068838722617164
Dima Hasao,161.0,0.35879036391594055
Dimapur,551.0,1.2279098789918212
Dindigul,5540.0,12.345954137231743
Dindori,2361.0,5.261515833574756
Diu,40.0,0.08914046308470573
Doda,657.0,1.4641321061662915
Dr BR Ambedkar Konaseema,5101.0,11.367637554877097
Dudu,1187.0,2.6452432420386427
Dumka,1159.0,2.5828449178793482
Dungarpur,2691.0,5.996924654023577
Durg,6485.0,14.451897577607916
Dwarka,23346.0,52.026831279388496
EOW,94.0,0.20948008824905845
EOW Jammu,102.0,0.22730818086599958
EOW Kashmir,60.0,0.1337106946270586
East,21875.0,48.74869074944844
East Godavari,5921.0,13.195017048113563
Economic Offences Unit,15.0,0.03342767365676465
Eluru,7702.0,17.16399616696009
Ernakulam Commr,24729.0,55.108862790542204
Ernakulam Rural,12100.0,26.96499008312348
Erode,4152.0,9.252780068192454
Etah,4760.0,10.607715107079981
Etawah,2871.0,6.398056737904753
Faridabad,10294.0,22.94029817484902
Faridkot,1092.0,2.433534642212466
Fatehabad,3440.0,7.666079825284693
Fatehgarh,3309.0,7.374144808682281
Fatehgarh Sahib,950.0,2.1170859982617607
Fatehpur,4439.0,9.892362890825218
Fazilka,1281.0,2.854723330287701
Ferozepur,1370.0,3.053060860651171
Firozabad,9485.0,21.137432308960847
GRP,1136.7142857142858,2.533180945589298
GRP Ajmer,1562.0,3.480935083457758
GRP Jodhpur,400.0,0.8914046308470572
GRP Raipur,479.0,1.067457045439351
Gadag,1229.0,2.7388407282775833
Gadchiroli,2154.0,4.800213937111404
Gajapati,1088.0,2.424620595903996
Ganderbal,707.0,1.5755576850221737
Gandhinagar,4074.0,9.078956165177278
Ganganagar,4428.0,9.867849263476923
Gangapur City,2886.0,6.431484411561518
Gangtok (East),227.0,0.505872128005705
Ganjam,16059.0,35.78766741693223
Garhwa,1924.0,4.287656274374346
Gariyaband,1603.0,3.572304058119582
Garo Hills East,112.0,0.24959329663717603
Garo Hills North,51.0,0.11365409043299979
Garo Hills South,52.0,0.11588260201011744
Garo Hills South West,124.0,0.2763354355625878
Garo Hills West,371.0,0.8267777951106456
Gaurela-Pendra-Marwari,913.0,2.034631069908408
Gautambudh Nagar,8332.0,18.567958460544205
Gaya,11626.0,25.90867559556972
Ghaziabad,14589.0,32.5117553985693
Ghazipur,4329.0,9.647226617342278
Gir Somnath,1699.0,3.7862411695228757
Giridih,3409.0,7.5969959663940445
Goalpara,1236.0,2.7544403093174066
Godda,1581.0,3.5232768034229935
